"parental_education","family_income","internet_access","study_environment","study_hours_per_day","attendance_rate","sleep_hours","social_media_hours","assignment_completion_rate","participation_score","online_courses_completed","tutoring","pass"
"Bachelor","Low","No","Quiet",2.08,79.2,6.18,1.8,77.3,97.6,5,"No",0
"High School","Low","Yes","Moderate",4.5,90.8,7.15,2,49.5,63.5,0,"No",0
"Bachelor","Medium","Yes","Quiet",2.55,83.7,6.35,1.6,82.7,63,0,"No",0
"Bachelor","Medium","Yes","Quiet",0.5,87.2,7.57,5,96.4,84.7,3,"No",0
"Bachelor","High","Yes","Noisy",2.59,72.6,8.48,2.7,73,84.3,1,"No",0
"PhD","Medium","Yes","Quiet",0.85,80.1,5.74,4.5,71.1,74.7,1,"Yes",0
"High School","Medium","Yes","Moderate",2.03,96,6.94,4,82.2,73.4,6,"No",0
"Bachelor","High","Yes","Noisy",2.48,94.6,7.2,1.8,92.1,36.9,1,"No",0
"High School","High","Yes","Quiet",1.49,90.3,5.6,0,75,80,1,"Yes",0
"High School","Low","Yes","Quiet",2.86,92.6,6.79,5,83.7,60,1,"No",0
"High School","High","Yes","Moderate",3.03,86.3,5.45,1.4,90.4,48.9,3,"No",0
"High School","Medium","Yes","Moderate",2.1,61.8,6.17,3.1,76.4,46.3,1,"No",0
"Bachelor","Medium","Yes","Moderate",3.55,73,7.03,2.8,61.3,68.4,1,"No",0
"Bachelor","Medium","Yes","Quiet",1.97,97.9,5.34,3,67.3,72,3,"No",0
"PhD","Medium","Yes","Noisy",3.14,64.9,7.35,5,72.6,53.9,1,"Yes",0
"High School","Medium","Yes","Quiet",3.19,82.1,7.65,2.8,56.9,89.7,1,"No",0
"PhD","Medium","Yes","Quiet",1.43,100,7.08,2.2,68.4,89.2,3,"Yes",0
"High School","Low","Yes","Noisy",2.07,93.3,5.77,4.2,100,71.2,1,"No",0
"High School","Low","Yes","Quiet",2.7,100,9.05,1.8,66.1,34.8,1,"Yes",0
"Bachelor","Low","Yes","Moderate",2.45,78.8,8.02,1.8,84.3,70.8,1,"Yes",0
"High School","Low","Yes","Moderate",2.4,74.7,6.04,0.9,81.8,36.3,0,"No",0
"High School","Medium","Yes","Quiet",2.74,65.2,8.26,0.4,44.2,87.4,2,"No",0
"PhD","Medium","No","Noisy",1.43,95.1,6.81,0.6,79.2,88,3,"No",0
"Master","High","Yes","Moderate",2.59,96.2,6.92,1.5,99.7,65.4,3,"Yes",0
"High School","High","Yes","Quiet",3.83,89.4,5.48,3.1,69.6,86,2,"No",0
"Master","Low","Yes","Quiet",3.52,64.9,8.2,0.7,71.8,79.6,2,"No",0
"High School","Medium","Yes","Moderate",1.8,83.3,8.28,5.2,70.9,88.3,0,"No",0
"High School","Medium","Yes","Quiet",1.08,100,8.22,3,100,53.9,1,"No",0
"High School","Medium","Yes","Quiet",2.48,83.5,6.23,2.7,71.5,54.2,5,"No",0
"Bachelor","Low","Yes","Quiet",5.01,81.7,7.42,6.2,58.1,68.2,2,"Yes",0
"High School","Medium","No","Quiet",2.83,82.7,6.41,0,74.9,75,2,"No",0
"Master","High","No","Moderate",3.27,79.9,7.18,0.6,84.7,36.1,1,"No",0
"High School","High","Yes","Moderate",2.5,100,5.76,4.9,71.2,77.2,1,"No",0
"Bachelor","Low","Yes","Noisy",2.8,73.3,6.75,3,94.1,91,2,"Yes",0
"Master","Medium","Yes","Moderate",2.77,88.5,5.34,5.8,69.3,54.8,1,"No",0
"High School","Low","Yes","Quiet",2.69,100,7.59,3.2,98,78.5,0,"No",0
"Master","Medium","Yes","Quiet",2.18,78.3,6.46,1.7,66.3,52.2,0,"Yes",0
"Master","Medium","Yes","Moderate",1.29,74,6.61,2,76.7,81.7,5,"No",0
"High School","Medium","Yes","Noisy",2.81,81.4,8.5,0.6,63.9,51.5,2,"No",0
"High School","Medium","Yes","Quiet",3.98,64.8,5.48,2.7,70.6,66.6,5,"Yes",0
"Bachelor","High","Yes","Moderate",2.49,94.5,7.02,2.1,49.8,50.7,0,"No",0
"Bachelor","Medium","Yes","Noisy",3.66,90.3,7.97,2.8,74.7,62.8,0,"No",0
"Bachelor","Medium","Yes","Noisy",3.05,73.2,7.36,2.9,64.6,100,4,"No",0
"High School","Medium","Yes","Noisy",3.21,91.1,6.39,2.9,81.6,65.7,2,"No",0
"Bachelor","High","Yes","Quiet",0.5,79.8,7.19,1.7,73.1,85.6,5,"Yes",0
"Master","Medium","Yes","Quiet",2.49,86.7,6.97,2.1,100,71,2,"No",0
"Master","Low","Yes","Moderate",2.32,81.7,6.99,0.9,83.5,87.7,4,"No",0
"Bachelor","Medium","Yes","Quiet",0.94,81,7.91,1.4,91.5,78.8,3,"No",0
"Bachelor","Low","Yes","Moderate",1.43,79.9,8,5.1,65.5,44.2,4,"No",0
"Bachelor","Medium","Yes","Quiet",2.73,81.2,5.69,1.4,92.9,57.2,3,"No",0
"Bachelor","Low","Yes","Noisy",3.78,100,7.35,4.9,87.2,46.9,4,"Yes",0
"High School","Medium","No","Quiet",3.62,83.5,6.85,4.4,50.5,89.4,1,"Yes",0
"High School","Medium","Yes","Quiet",0.81,75.9,8.08,1.4,82,82.6,4,"No",0
"High School","Low","Yes","Moderate",2.7,81.4,6.18,2.8,68.6,57.3,2,"Yes",0
"PhD","Low","Yes","Moderate",2.19,90,6.02,3.9,79.9,74.4,3,"No",0
"Master","Low","Yes","Moderate",4.02,74.7,6.47,2.8,93.3,55.9,2,"No",0
"Master","Low","Yes","Quiet",2.39,84.6,6.85,2.3,58.8,70.4,2,"Yes",0
"Bachelor","Low","Yes","Moderate",3.46,87.8,7.13,2.7,100,86.2,1,"No",0
"Bachelor","High","No","Moderate",2.55,90.3,6.48,2.7,42.9,71.8,0,"No",0
"High School","Low","Yes","Quiet",3.03,84.6,7.67,4.1,100,60.8,6,"No",0
"High School","Medium","Yes","Moderate",1.63,100,5.42,0.5,74.5,57.5,3,"No",0
"High School","Low","Yes","Quiet",0.5,91,8.04,2.2,100,42.6,2,"No",0
"High School","High","Yes","Moderate",0.5,86.5,6.36,5.1,71.8,61.2,2,"No",0
"PhD","High","Yes","Moderate",2.44,70.7,7.51,3.9,100,88.3,1,"Yes",0
"Bachelor","High","Yes","Quiet",1.37,84,7.74,2.6,89.1,54.8,2,"No",0
"High School","Low","Yes","Moderate",3.03,65.5,5.78,3.8,54,72.3,5,"Yes",0
"Master","Low","Yes","Moderate",3.93,68.3,6.78,2.2,98.8,58.1,5,"Yes",0
"Bachelor","Medium","Yes","Noisy",2.5,81.1,7.05,2.9,51.4,34,5,"No",0
"Master","Low","Yes","Moderate",1.95,99.5,6.19,4.5,82.5,82.5,3,"No",0
"PhD","Low","Yes","Quiet",1.17,78.6,6.58,6.2,91.9,61,3,"No",0
"Bachelor","Medium","Yes","Moderate",1.24,80.3,6.81,3.7,90.9,52,0,"Yes",0
"Master","Low","Yes","Moderate",2.9,85.8,7.73,2.3,95.5,34.7,2,"No",0
"Bachelor","Medium","Yes","Moderate",3.76,80.8,5.74,2.8,97.3,68,2,"No",0
"PhD","Low","Yes","Quiet",4.85,89.7,7.31,2.3,72.8,94.3,2,"No",0
"High School","High","Yes","Moderate",3.26,75,7.34,3.5,94.2,48.3,3,"No",0
"Master","Medium","Yes","Moderate",0.52,73,7.3,1.7,78.1,60.1,1,"No",0
"Bachelor","High","Yes","Noisy",2.66,96,7.23,3.1,86.9,57.3,2,"No",0
"Bachelor","Medium","No","Quiet",1.42,89.5,6.25,5.9,99.9,60.3,2,"Yes",0
"High School","Medium","No","Quiet",0.89,66,6.68,4.2,85.7,64.7,4,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.41,86.6,7,1.9,77.4,44,1,"Yes",0
"Master","Medium","Yes","Moderate",2.01,83.7,6.41,2.1,99.3,54,3,"No",0
"PhD","Medium","Yes","Noisy",2.84,76.6,6.42,1.9,46.8,56.3,2,"No",0
"High School","Medium","Yes","Moderate",2.06,74.8,8.43,0.6,73.4,100,1,"No",0
"Bachelor","Low","Yes","Noisy",0.55,88.7,6.74,3.5,98.8,63.7,1,"No",0
"Master","Low","Yes","Noisy",2.9,98.9,7.45,3.1,73.8,70.6,2,"No",0
"Bachelor","High","No","Quiet",1.99,100,7.21,6.3,100,78.7,0,"No",0
"High School","Medium","Yes","Moderate",1.93,85.6,5.8,2,54.6,70.8,4,"Yes",0
"Bachelor","Medium","Yes","Moderate",0.73,78.1,8.05,1.2,65,85.5,2,"No",0
"Master","Low","Yes","Moderate",2.08,97.9,7.83,3.6,69.3,80.3,2,"No",0
"Bachelor","High","Yes","Noisy",2.86,89.3,5.29,3.7,91.2,67.7,4,"No",0
"High School","Medium","Yes","Moderate",2.71,74.2,7.26,3.6,72.4,67.7,2,"Yes",0
"High School","Low","Yes","Noisy",2.79,72,7.64,1.7,80.5,64.1,3,"No",0
"High School","Medium","Yes","Quiet",0.5,99.2,7.49,3.6,98.4,94.1,1,"Yes",0
"High School","Medium","Yes","Noisy",2.61,77,7.45,2.5,70.5,72.3,4,"No",0
"High School","High","Yes","Moderate",2.24,75.9,6.32,3.5,87.8,81.5,2,"No",0
"High School","Low","Yes","Quiet",3.64,82.1,5.89,4.1,65.2,62.7,2,"Yes",0
"High School","High","Yes","Moderate",2.13,86.4,4.37,1,79.8,79.7,1,"Yes",0
"Bachelor","Low","Yes","Quiet",4.27,80.5,5.9,3.5,77.8,86,2,"No",0
"Bachelor","Low","No","Noisy",1.67,79.9,8.14,6.5,85.2,100,0,"No",0
"High School","High","Yes","Moderate",0.94,70.8,5.82,3.7,100,69.6,6,"No",0
"Bachelor","Medium","Yes","Moderate",2.65,87.6,8.56,3.9,68.3,52,2,"No",0
"High School","Medium","Yes","Noisy",0.5,100,4.84,3.8,73.7,77.8,4,"Yes",0
"PhD","High","Yes","Moderate",2.47,80.9,7.92,3.7,67.4,73.2,3,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.24,90.4,6.29,4,80.2,63.3,4,"No",0
"Bachelor","Medium","No","Moderate",2.37,81.5,7.96,2,97.9,75.5,3,"No",0
"Bachelor","Low","No","Moderate",2.67,76.5,8.21,1.5,58,100,4,"No",0
"Bachelor","High","No","Noisy",2.97,88.9,7.12,4.6,69.3,49.3,0,"Yes",0
"High School","Medium","Yes","Moderate",1.97,80.6,8.52,3.7,79.4,90.1,4,"No",0
"PhD","Low","Yes","Quiet",3.77,87,6.84,4.2,86.2,61.7,2,"No",0
"High School","Medium","Yes","Quiet",1.91,100,5.58,2.2,100,72.1,2,"No",0
"High School","Medium","Yes","Noisy",1.56,80.1,8.62,3,70,76.8,3,"No",0
"PhD","High","Yes","Moderate",4,65.2,5.92,4.4,66.4,44.3,1,"Yes",0
"High School","Medium","Yes","Noisy",1.35,76.5,7.03,0.4,91.3,71,3,"No",0
"Master","Medium","Yes","Moderate",0.5,93.6,6.33,0,54.7,52.8,2,"Yes",0
"Bachelor","Medium","Yes","Noisy",1.87,75,8.99,2.7,66.5,79.6,1,"No",0
"High School","Medium","Yes","Quiet",1.14,86.7,6.56,2.6,88.6,61.7,0,"Yes",0
"Bachelor","High","Yes","Moderate",2.89,70.6,6.72,1.7,73.7,72.3,2,"No",0
"Bachelor","Low","Yes","Quiet",2.04,92.7,6.01,4.9,86.7,49.4,1,"No",0
"Bachelor","Low","Yes","Moderate",1.66,69.9,7.74,2.6,90.7,90.5,2,"No",0
"Bachelor","High","Yes","Noisy",0.9,93.8,7.67,0.8,49.7,98.7,3,"No",0
"High School","High","No","Noisy",3.18,80.1,5.79,2.6,100,56.7,3,"No",0
"Bachelor","High","Yes","Moderate",3.69,80.6,6.11,3.9,84.6,76.4,0,"No",0
"Bachelor","Medium","Yes","Moderate",2.52,77,6.24,5.7,62.8,37.8,4,"No",0
"PhD","Medium","Yes","Noisy",2.34,93.6,8.05,2.5,75.9,55.9,2,"No",0
"High School","Low","Yes","Noisy",1.59,87.3,7.26,2.9,100,100,3,"No",0
"Bachelor","High","Yes","Moderate",3.44,76.2,7.66,0,55.8,55.4,2,"No",0
"High School","Low","Yes","Moderate",3.24,72,6.4,0.1,88.6,79.8,0,"No",0
"Bachelor","Low","Yes","Moderate",3.12,85.9,6.6,4.9,71.5,80.7,1,"No",0
"Bachelor","High","Yes","Quiet",0.5,92,6.13,0,88.8,86.9,3,"No",0
"Master","Medium","Yes","Moderate",3.58,64,7.27,4.2,58,87.4,1,"No",0
"High School","Low","Yes","Quiet",2.08,82.5,6.22,3.1,51.3,36.6,3,"Yes",0
"High School","High","Yes","Quiet",2.8,74.1,6.38,0,82.9,61.9,2,"No",0
"Bachelor","Low","Yes","Noisy",3.96,75,5.38,3.2,82.3,80.8,1,"No",0
"High School","Medium","Yes","Quiet",3.12,77.8,5.83,0,67.1,71,2,"No",0
"High School","Medium","Yes","Moderate",2.72,97.4,7.69,4.9,76.5,61.3,2,"No",0
"High School","Low","Yes","Quiet",3.15,82.6,6.69,1.5,70.5,63.2,3,"No",0
"High School","Low","Yes","Quiet",2.2,97.8,8.09,2.9,100,83.3,0,"No",0
"Bachelor","Low","Yes","Moderate",2.51,85.2,9.22,4.1,40.8,96.3,4,"Yes",0
"High School","Medium","Yes","Quiet",3.68,95.3,7.38,3.6,80.9,42.6,1,"Yes",0
"High School","High","Yes","Quiet",2.47,100,6.72,2.4,75.8,61.3,3,"No",0
"High School","Low","Yes","Quiet",3.7,90.7,5.35,1.5,77.7,97.7,0,"Yes",0
"High School","Medium","No","Noisy",3.47,100,7.03,1.1,78.2,52.7,1,"Yes",0
"High School","Low","Yes","Quiet",3.3,65.2,7.42,5,92.6,78.3,3,"No",0
"High School","Low","Yes","Quiet",3.48,68.9,7.74,3.7,69.5,68,1,"No",0
"High School","Medium","Yes","Quiet",0.82,78,7.78,2.8,96.2,57.7,1,"No",0
"High School","High","Yes","Quiet",3.14,100,6.34,2.3,70.7,88.1,5,"No",0
"Bachelor","High","Yes","Quiet",1.86,83.7,5.17,3.1,97.7,56.4,4,"No",0
"High School","Low","Yes","Moderate",4.38,66,7.59,0.9,81.1,65.8,2,"No",0
"High School","Low","Yes","Quiet",2.87,88.1,5.62,4.7,77,56.7,2,"No",0
"High School","Medium","Yes","Moderate",1.73,83.2,7.35,0.7,82.1,61.8,3,"No",0
"High School","High","Yes","Quiet",2.64,75.8,8.42,4.2,94.5,84.8,2,"Yes",0
"Master","Low","Yes","Quiet",2.22,60.7,7,1.1,95.3,72.4,0,"No",0
"Bachelor","Low","Yes","Quiet",2.52,91.5,7.95,2.7,63.5,68.9,0,"Yes",0
"Master","High","Yes","Moderate",3.8,83.1,7.48,2.6,66.4,64.1,1,"No",0
"Bachelor","Medium","Yes","Moderate",1.56,91,7.13,3.3,76.5,55,1,"No",0
"High School","Medium","Yes","Quiet",1.09,67.9,7.63,1.1,91.8,81.9,1,"Yes",1
"Master","Low","Yes","Quiet",4.22,100,6.2,2.3,97,82.3,0,"No",1
"Master","Medium","No","Noisy",3.09,81.3,7.85,0,85.3,89.5,2,"No",1
"Master","Low","Yes","Quiet",2.2,100,7.89,2.5,84.5,100,3,"No",1
"Master","Medium","Yes","Noisy",4.61,76,5.88,1.3,64.4,63.8,0,"No",1
"Master","Low","Yes","Moderate",4.03,73.9,9.06,4,93.4,70.9,3,"No",1
"Bachelor","Medium","Yes","Noisy",3.34,71.4,6.54,6,63.9,43.9,2,"No",1
"High School","Medium","Yes","Noisy",4.01,90,7.85,2,68.3,56.8,3,"Yes",1
"High School","Low","Yes","Noisy",3.53,86.8,7.72,5.3,83.9,77.3,1,"No",1
"Bachelor","Medium","No","Moderate",2.79,75.3,7.52,1.6,100,94.8,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.1,72.7,5.91,4.5,100,52.3,2,"No",1
"High School","Low","Yes","Moderate",3.79,92.8,7.89,1.4,94,52,0,"Yes",1
"High School","High","Yes","Quiet",3.78,88.6,7.72,2.4,81.5,57.6,3,"Yes",1
"Bachelor","Low","Yes","Noisy",4.55,90.6,6.73,1.2,66.5,81,3,"No",1
"Bachelor","Low","No","Moderate",3.52,81.6,5.99,3.1,86.9,86,3,"No",1
"High School","High","Yes","Moderate",3.18,79.4,7.18,3.3,88.2,82.9,4,"No",1
"Bachelor","Medium","Yes","Moderate",3.52,73.7,7.73,3.3,86.5,63.6,4,"No",1
"Bachelor","High","Yes","Quiet",3.59,78.4,5.12,3.7,99.4,91.9,1,"No",1
"Bachelor","High","Yes","Quiet",3.24,67.8,5.95,1.9,91.7,75,1,"No",1
"Bachelor","High","Yes","Quiet",3.6,82.6,7.72,0.4,70.1,76,4,"No",1
"High School","High","Yes","Moderate",2.49,79.1,7.1,2.3,70.4,88.8,3,"No",1
"High School","Low","Yes","Noisy",3.85,85.7,7.17,1.1,84,71.5,2,"No",1
"High School","Medium","Yes","Moderate",4.81,100,7.71,0.7,83.2,62,4,"No",1
"Master","Medium","Yes","Quiet",3.23,83.8,8.51,2.7,91.9,72.8,2,"No",1
"Bachelor","Low","Yes","Moderate",2.87,84.7,9.95,1.6,84.8,73.8,0,"Yes",1
"PhD","Medium","Yes","Moderate",3.34,82.9,9.89,2.2,80.2,84.6,2,"No",1
"Bachelor","High","Yes","Quiet",2.61,95,6.11,3.4,87.5,62.5,0,"No",1
"High School","Medium","Yes","Quiet",1.62,86.1,7.32,3.8,100,95.4,4,"No",1
"High School","High","Yes","Quiet",2.9,70.8,6.03,0,76.2,75.1,5,"No",1
"Master","High","Yes","Quiet",2.93,100,8.4,1.6,76.6,79.4,2,"No",1
"PhD","Medium","Yes","Moderate",4.86,74.5,6.78,1.2,82.2,48.2,2,"No",1
"High School","High","Yes","Quiet",2.52,78.5,5.55,5.2,100,71.6,2,"No",1
"Bachelor","Medium","Yes","Noisy",4.84,87.5,7,2.5,86.3,78.2,3,"No",1
"Master","Medium","Yes","Moderate",4.42,88.1,6.51,3,100,57,2,"No",1
"Master","Medium","Yes","Noisy",4.41,76.7,9.39,2.6,60.2,62,1,"No",1
"Master","High","Yes","Quiet",4.27,100,6.08,0.3,48.3,60.6,2,"No",1
"PhD","Medium","Yes","Quiet",6.1,76.9,5.74,0,83.9,49.2,0,"Yes",1
"Bachelor","Medium","Yes","Moderate",4.44,86.8,7.09,0,70.5,52.2,2,"Yes",1
"High School","High","Yes","Noisy",4,64.9,7.27,2.5,81.7,81.3,2,"No",1
"High School","Medium","Yes","Noisy",4.7,75.8,5.84,2.4,86.8,55.7,2,"No",1
"High School","Medium","Yes","Moderate",2.32,72.3,9.24,3.2,67.4,50,3,"No",1
"Bachelor","High","Yes","Quiet",4.56,93,7.4,1.9,85.6,77.2,3,"Yes",1
"Bachelor","High","Yes","Quiet",3.37,76.5,6.8,2.7,76.8,65,1,"Yes",1
"Master","Medium","No","Moderate",4.55,84.3,6.67,0,98.2,63.8,2,"No",1
"Bachelor","Low","Yes","Moderate",3.41,85.7,8.55,2,80.8,84.9,2,"No",1
"High School","Low","Yes","Moderate",1.69,100,6.95,6.2,87.9,65.8,2,"No",1
"Bachelor","Low","Yes","Quiet",3.32,87.5,4,3.8,66.3,59.7,4,"Yes",1
"Bachelor","Low","Yes","Moderate",5.26,88.5,7.58,2.1,88.2,54.4,2,"Yes",1
"Master","Medium","Yes","Moderate",2.29,84.9,8.22,2.5,77.5,72,3,"No",1
"High School","Low","Yes","Quiet",4.35,71.2,6.21,1.6,91.3,91.5,5,"No",1
"High School","Medium","Yes","Quiet",3.26,76.1,8.48,2.3,98,54.8,2,"No",1
"Bachelor","Low","Yes","Moderate",3.81,71.7,9.27,2.3,66.7,61.9,1,"No",1
"Bachelor","Medium","Yes","Moderate",3.85,87.7,6.46,0.4,81.4,92.4,2,"No",1
"Bachelor","High","No","Moderate",3.14,80.5,6.83,0.7,78.6,86.4,0,"No",1
"Bachelor","High","Yes","Moderate",1.57,85.1,6.16,1.3,100,65.4,2,"No",1
"Bachelor","Low","Yes","Quiet",4.08,78.3,6.72,0,85.3,61.5,3,"No",1
"High School","High","No","Quiet",5.11,85,6.71,4.4,89.8,88.7,3,"No",1
"Bachelor","Medium","Yes","Moderate",2.95,93.9,7.71,3.9,99.4,77.2,0,"No",1
"Bachelor","Medium","Yes","Quiet",3.17,84.5,5.74,2.5,69.1,90.5,0,"No",1
"Master","Medium","Yes","Noisy",3.7,83.6,7.69,1.2,76.9,82.7,2,"Yes",1
"PhD","Low","No","Moderate",2.7,85.3,8.42,2,94.1,68.8,1,"No",1
"Bachelor","High","Yes","Moderate",4.19,92.8,6.59,3,92.8,68.4,3,"No",1
"High School","High","Yes","Noisy",2.29,93.6,8.18,2.7,93.9,87.6,1,"Yes",1
"Bachelor","Medium","No","Quiet",5.19,87.7,7.44,3.5,84.1,87.7,3,"Yes",1
"Master","Medium","Yes","Noisy",4.64,80.1,6.47,1.4,84.3,84.5,2,"No",1
"Master","Medium","Yes","Moderate",4.58,82.2,8.98,1.9,58.8,69.3,2,"Yes",1
"Bachelor","Low","Yes","Moderate",3.31,85.5,7.38,1.2,89.3,55.8,1,"No",1
"Bachelor","Low","Yes","Noisy",2.42,73.5,7.87,0,100,61.6,1,"No",1
"High School","High","Yes","Quiet",3.93,90.8,7.27,2.8,73.9,52.9,1,"No",1
"Bachelor","Medium","Yes","Quiet",0.82,82.8,7.42,1.1,100,73.6,3,"No",1
"Bachelor","High","Yes","Moderate",5.12,79.2,8.65,2.2,83.6,82.8,3,"No",1
"Bachelor","Low","Yes","Moderate",3.21,76.1,6.53,4.9,73.3,73,0,"Yes",1
"High School","High","Yes","Quiet",4.28,89,6.46,3.1,77.8,95.2,1,"Yes",1
"High School","Medium","Yes","Moderate",3.08,96.5,6.84,0,100,55.8,4,"Yes",1
"Bachelor","Low","Yes","Quiet",6.14,68.6,8.44,0,86.3,100,2,"Yes",1
"Bachelor","Medium","Yes","Noisy",2.99,93.3,6.16,2.7,86.4,83.6,2,"No",1
"Master","Low","Yes","Moderate",3.62,100,5.85,2.7,79.7,64.1,2,"No",1
"Master","High","Yes","Quiet",2.52,100,6.76,6.6,100,88.9,4,"Yes",1
"Bachelor","Medium","Yes","Quiet",3.6,83,5.88,4.3,78.3,61.1,1,"No",1
"High School","Low","Yes","Quiet",3.88,89.8,7.83,2.9,66,79.7,2,"Yes",1
"High School","Low","Yes","Noisy",4.19,88.9,6.78,0.2,100,54.2,1,"No",1
"High School","Medium","Yes","Quiet",2.9,99.7,5.52,3.5,76.8,71.8,1,"No",1
"High School","High","No","Quiet",4.39,100,8.09,1.9,81.9,62.4,3,"No",1
"Bachelor","High","Yes","Quiet",2.34,96.9,7.74,1.5,87.7,78.8,3,"No",1
"High School","High","Yes","Moderate",2.57,74.9,7.64,0.6,74,88.5,0,"Yes",1
"High School","Medium","Yes","Moderate",4.22,79.3,9.37,3.6,85.1,27.8,2,"Yes",1
"High School","High","Yes","Quiet",3.75,85.9,7.41,1.5,85.3,59.5,2,"Yes",1
"Master","Medium","Yes","Quiet",3.3,86.8,6.71,3,74.6,100,1,"No",1
"Bachelor","Medium","Yes","Moderate",3.05,70.3,10,1.2,68,100,2,"No",1
"High School","Medium","Yes","Quiet",3.96,88,5.78,2.6,84.1,91.6,0,"No",1
"Master","Medium","Yes","Moderate",5.36,83.9,6.22,0.8,57.9,95.9,3,"No",1
"High School","Medium","Yes","Quiet",3.17,88.4,7.68,1.5,80.7,63.9,2,"No",1
"Master","Medium","Yes","Quiet",1.45,95.1,7.67,4,85.3,91.3,4,"No",1
"Bachelor","High","Yes","Quiet",3.7,78,5.79,1.3,74.9,93.1,5,"Yes",1
"Bachelor","High","Yes","Noisy",3.12,72.1,6.83,1.1,63.2,78.5,0,"Yes",1
"Master","Medium","Yes","Quiet",1.38,63,7.53,1.8,59.9,81.2,0,"No",1
"High School","Medium","No","Quiet",4.17,80.7,8.48,0.7,91.4,79,1,"No",1
"Bachelor","Medium","Yes","Quiet",4.59,81,4.89,0.7,81.8,45.6,3,"No",1
"High School","Low","Yes","Noisy",3.95,88.2,6.21,1.5,81.3,88.8,2,"No",1
"Bachelor","High","Yes","Quiet",2.12,79.2,7.35,3.7,96.1,88.2,3,"Yes",1
"High School","Medium","No","Quiet",4.32,83.3,9.23,1.9,70.7,51.6,2,"Yes",1
"Bachelor","Low","Yes","Quiet",5.33,91.5,7.81,3.3,71.8,63.8,2,"No",1
"High School","Low","Yes","Quiet",4.62,88.6,6.42,1.9,100,78.9,1,"No",1
"Master","Low","Yes","Moderate",3.2,91,7.21,2.3,75.3,60.9,3,"Yes",1
"High School","High","Yes","Quiet",4.5,89.6,5.57,0,100,49.7,1,"No",1
"Master","Medium","Yes","Quiet",4.73,76.7,8.08,1.1,67.3,75.8,3,"No",1
"Master","High","Yes","Noisy",3.96,82.1,6.56,3,68.8,76.1,2,"No",1
"PhD","Low","Yes","Quiet",2.81,100,7.83,3.6,77,89.4,1,"No",1
"Master","Medium","Yes","Quiet",3.66,84.5,8.38,2.1,78.1,90.9,0,"No",1
"Bachelor","High","Yes","Moderate",4.34,92.3,5.82,4,77.1,54.2,1,"Yes",1
"High School","Low","Yes","Moderate",3.4,79.1,6.57,1.1,77.4,76.4,3,"No",1
"Master","Low","Yes","Noisy",2.04,90.6,7.13,1.7,82.4,59.6,2,"No",1
"Bachelor","High","Yes","Moderate",3.72,61.9,6.9,0.2,63.7,59,2,"No",1
"Bachelor","Low","Yes","Quiet",2.53,90.8,5.29,1.3,83.5,61.8,2,"No",1
"Master","High","Yes","Quiet",5.08,94.9,6.75,1.9,86.1,65.4,2,"No",1
"Bachelor","Medium","Yes","Noisy",3.06,93.5,6.18,3.2,84.7,44.3,3,"No",1
"High School","Medium","Yes","Quiet",3.56,86,6.52,1.4,94,59.3,4,"Yes",1
"Master","Medium","Yes","Quiet",3.38,95.1,6.41,3.9,100,48.5,2,"Yes",1
"High School","Low","No","Moderate",4.31,70.4,6.4,3.6,76.4,95.1,3,"No",1
"Master","Medium","Yes","Quiet",4.26,95.7,8.7,0,90.9,78,1,"No",1
"High School","Medium","Yes","Quiet",3.93,95.6,8.21,3.8,80.2,67.3,2,"Yes",1
"Master","Low","Yes","Moderate",4.47,87,7.29,4.4,79.1,90,1,"Yes",1
"Master","Low","Yes","Noisy",4.27,91.7,6.5,3.1,100,63,0,"No",1
"Master","Low","No","Moderate",4.59,82.9,8.15,3.4,45.4,66.4,1,"Yes",1
"High School","Low","Yes","Noisy",3.51,77.6,7.48,0.9,86.3,70,1,"No",1
"Master","Low","Yes","Noisy",4.2,84.2,8.01,1.2,61.6,70.5,1,"Yes",1
"Bachelor","Low","Yes","Noisy",4.37,82.5,5.42,2.4,70.5,74.6,0,"No",1
"Bachelor","Medium","Yes","Quiet",2.31,91.6,5.82,2.5,99.9,92.5,0,"No",1
"Bachelor","High","Yes","Moderate",4.55,90.1,8.16,3.7,68.4,60.6,1,"Yes",1
"High School","High","Yes","Moderate",2.89,92.6,6.77,2.4,91.8,76.4,2,"No",1
"Master","Low","No","Noisy",2.73,80.4,5.9,1,92,81.9,1,"No",1
"High School","Low","No","Noisy",2.84,89,6.06,2.9,100,62.3,2,"No",1
"PhD","Medium","Yes","Quiet",4.01,86,8.17,1.2,52.5,91.4,4,"Yes",1
"High School","High","Yes","Quiet",1.92,75.8,8,1.3,94.2,61.3,3,"No",1
"Bachelor","Medium","No","Noisy",3.69,64.3,8.58,1.2,68.1,81.8,2,"No",1
"Bachelor","Medium","Yes","Quiet",2.51,73.1,6.45,3.2,82.2,72.3,0,"Yes",1
"Master","Low","Yes","Quiet",2.17,89.8,6.03,0.7,63.7,87.2,1,"Yes",1
"High School","Medium","Yes","Moderate",3.43,95.3,5.95,2.8,55.7,61.1,0,"Yes",1
"Master","Medium","Yes","Quiet",3.95,80.7,5.87,2.7,82.7,63.8,1,"Yes",1
